100 0.223607
0.061206 0.0606725 0.0035953
0.183427 0.0200422 0.00398861
0.0817972 0.162787 0.0134685
0.101337 0.101665 0.0107391
0.182779 0.182631 0.0336538
0.0406497 0.203026 0.00818269
0.122446 0.0198437 0.00213601
0.12206 0.121485 0.0146389
0.14273 0.162209 0.0231416
0.020565 0.101865 0.00212234
0.0411111 0.0203085 0.00129702
0.0810885 0.122443 0.0102732
0.142444 0.0606021 0.00854852
0.0411269 0.0403872 0.001556
0.162703 0.0406181 0.00698153
0.162875 0.0608319 0.0102572
0.08131 0.101554 0.00821266
0.0203033 0.122302 0.00264821
0.202893 0.0410209 0.00786
0.142375 0.0808643 0.0114387
0.142008 0.203459 0.0289409
0.162935 0.162952 0.0263293
0.101285 0.162347 0.0166875
0.0612194 0.0817863 0.00480094
0.182924 0.162636 0.0295315
0.0604895 0.020645 0.00109897
0.122121 0.142646 0.0172284
0.101755 0.203089 0.020638
0.162953 0.101143 0.016637
0.101251 0.0606332 0.00575526
0.2032 0.162941 0.032902
0.101475 0.182461 0.0187227
0.0815453 0.18301 0.014427
0.102091 0.0402498 0.00407208
0.040538 0.162641 0.00648108
0.203023 0.14224 0.0290319
0.203626 0.121808 0.0244541
0.121643 0.101825 0.0119812
0.0610413 0.121697 0.00708324
0.0402872 0.142791 0.00617848
0.162275 0.182929 0.0293367
0.163002 0.203202 0.0327418
0.182925 0.0611866 0.0109473
0.162246 0.0203894 0.003131
0.0811028 0.203378 0.0162638

0.139583 0.106407 0.0197449
0.186396 0.0865419 0.0101117
0.0973091 0.0778211 0.00349287
0.201463 0.204254 0.0449947
0.207156 0.0998444 0.0153636
0.188432 0.140543 0.0266595
0.121141 0.0592736 0.00480399
0.0365092 0.126464 0.00523998
0.0592997 0.160889 0.00611099
0.206263 0.0178243 0.00484036
0.0817045 0.0191487 0.0064731
0.0789234 0.0380588 0.00397944
0.0198747 0.0564688 0.00386325
0.0371261 0.0983233 0.00587556
0.16273 0.121985 0.0229882
0.0640223 0.10449 0.0043575
0.14064 0.0168241 0.00806914
0.184644 0.12144 0.0202812
0.0765864 0.0859136 0.00620234
0.0657746 0.208616 0.0129822
0.202214 0.0611466 0.00735102
0.187009 0.0966525 0.0173506
0.0599066 0.182681 0.00877892
0.14086 0.0407095 0.00315502
0.101518 0.0250358 0.00256649
0.021524 0.0254281 0.00296735
0.124076 0.186164 0.0215781
0.0402077 0.185696 0.0102137
0.0818118 0.140659 0.00873636
0.0198267 0.181443 0.00366635
0.0422654 0.0612714 0.00591246
0.0392701 0.0810764 0.00103489
0.0785247 0.0577116 0.00619871
0.0975975 0.143037 0.0117897
0.02514 0.0827845 0.00608478
0.144216 0.180894 0.0274094
0.119398 0.207554 0.0198769
0.0663107 0.045264 0.00224324
0.144634 0.145988 0.0174228
0.127328 0.0453757 0.00421972
0.183859 0.0439624 0.012521
0.016685 0.159167 0.00417066
0.104248 0.12218 0.0162878
0.204683 0.177938 0.0330332
0.0651536 0.145189 0.00693987
0.140534 0.120735 0.0204682
0.0211107 0.137302 0.00535506
0.183889 0.204868 0.0336409
0.16099 0.146392 0.0253068
0.159267 0.0810985 0.0121334
0.121727 0.0835666 0.00971859
0.0191477 0.0446222 0.00292937
0.0149352 0.202242 0.00144352
0.208187 0.0817166 0.013462
0.120943 0.164657 0.0243502
0.0634288 0.0575604 0.00235827
0.188183 0.017185 0.00668467
0.0866534 0.164429 0.0159219
0.0983098 0.101926 0.0148247
0.181059 0.179432 0.035481
0.0405887 0.200495 0.00736497
0.127235 0.0150019 0.0012973
0.122982 0.116665 0.0122679
0.147076 0.15807 0.023153
0.0229358 0.104117 0.00268458
0.0456645 0.0201142 0.00600273
0.0788576 0.127196 0.0138318
